scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Direct clinical care or management – other,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Other,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
Policy,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – school nursing,Insurance or legal,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Other,Prison,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Research,GP practice or other primary care,Self employed,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – public health,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – adult and general care nursing,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Private domestic setting,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – mental health nursing,Consultancy,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Research,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Research,Policy organisation,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Education,Trade union or professional body,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Policy,Other,Volunteering,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – learning disabilities nursing,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Research,Other,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – public health,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
Research,Consultancy,Self employed,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – public health,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – other,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
Education,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Research,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode2,Test organisation 1,England
Other,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Quality assurance or inspection,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Policy,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – midwifery,Trade union or professional body,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – occupational health,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – school nursing,Consultancy,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Voluntary or charity sector,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Education,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – other,Voluntary or charity sector,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Research,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Commissioning,Public health organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Policy,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – health visiting,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Consultancy,Self employed,FALSE,testpostcode2,Test organisation 2,England
Education,Military,Self employed,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – health visiting,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – midwifery,Ambulance service,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Care home sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – school nursing,School,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – other,Public health organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – other,Policy organisation,Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Care home sector,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – school nursing,Occupational health,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Policy,Inspectorate or regulator,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – public health,Voluntary or charity sector,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Police,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Quality assurance or inspection,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – school nursing,Inspectorate or regulator,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Other,Trade union or professional body,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Commissioning,GP practice or other primary care,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – school nursing,Care home sector,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – occupational health,University or other research facility,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Research,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – learning disabilities nursing,Other,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Other,Hospital or other secondary care,Self employed,TRUE,testpostcode1,Test organisation 1,Outside UK
Commissioning,Governing body or other leadership,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Other,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – mental health nursing,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
